0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
68	0	0
68	0	0
70	0	0
68	0	0
66	0	0
68	0	0
77	0	0
77	0	0
73	0	0
73	0	0
68	0	0
68	0	0
66	0	0
65	0	0
66	0	0
66	0	0
75	0	0
75	0	0
65	0	0
65	0	0
73	0	0
73	0	0
63	0	0
63	0	0
72	0	0
72	0	0
61	0	0
61	0	0
73	0	0
72	0	0
73	0	0
75	0	0
77	61	0
78	61	0
80	65	0
79	63	0
77	61	0
79	63	0
80	72	0
78	72	0
77	68	0
75	68	0
77	63	0
77	63	0
77	61	0
77	60	0
77	61	0
75	61	0
73	70	0
77	70	0
75	60	0
73	60	0
72	68	0
75	68	0
73	58	0
72	58	0
73	67	0
70	67	0
0	56	0
78	56	0
78	68	0
78	67	0
78	68	0
78	70	0
78	72	56
78	68	56
78	73	58
77	72	56
77	70	54
77	72	56
77	73	65
77	72	65
77	70	61
77	68	61
77	70	56
75	70	56
75	70	54
75	70	53
75	70	54
75	68	54
75	66	63
73	70	63
73	68	53
72	66	53
72	65	61
0	68	61
77	66	51
77	65	51
77	66	60
77	63	60
77	65	49
77	65	49
73	65	61
70	65	60
70	0	61
70	0	63
70	0	65
70	0	61
70	0	58
70	0	60
75	73	61
75	70	58
75	63	55
75	63	56
75	63	58
75	63	55
72	0	48
68	0	48
68	67	60
68	67	58
68	72	60
68	72	61
68	72	63
68	72	60
73	72	56
73	72	58
73	68	60
73	61	56
73	61	53
72	61	55
73	61	56
70	61	53
82	61	46
82	65	46
82	65	58
82	70	56
82	70	58
80	70	60
79	70	61
82	70	58
80	73	55
75	75	56
77	70	58
78	72	55
77	72	51
75	72	53
73	72	55
75	0	51
84	0	44
84	68	44
80	68	56
80	68	58
75	67	60
75	65	60
73	67	56
72	68	56
73	66	61
73	65	61
82	63	61
82	65	61
72	65	60
72	65	60
80	65	60
80	65	60
70	63	58
70	61	58
79	65	56
79	63	56
68	61	55
70	60	55
72	63	55
73	61	55
72	60	56
70	61	56
68	58	56
72	60	56
77	60	51
75	63	51
74	63	51
77	68	51
80	68	56
78	0	56
77	0	56
80	0	56
0	0	0
82	59	0
80	56	63
78	53	60
77	53	56
